id,value
860,"3466 МГц, 3600 МГц, 3733 МГц, 3866 МГц, 4000 МГц, 4133 МГц, 4266 МГц, 4400 МГц"
861,6.5 см
862,MSI B550M PRO-VDH
863,1.05 кг
864,"5800 МГц, 6000 МГц, 6200 МГц, 6400 МГц"
865,MSI PRO B760M-E
866,215 мм
867,Realtek RTL8125BG
868,"Phoenix, Raphael"
869,"5000 МГц, 5200 МГц, 5400 МГц, 5600 МГц, 5800 МГц, 6000 МГц, 6200 МГц, 6400 МГц, 6600 МГц, 6800 МГц"
870,MSI PRO B650M-B
871,AMD B650
872,MSI B550M PRO-VDH WIFI
873,"2 x кабель SATA, антенна Wi-Fi, диск с ПО, документация"
874,1.12 кг
875,ASUS PRIME H610M-E D4-CSM
876,43
877,19
878,120 мес.
879,1.2 В
880,[PSP416G2666KH1]
881,UDIMM
882,оперативная память
883,16 ГБ
884,Patriot Signature Line Premium
885,1600 МГц
886,1600 МГц (11-11-11-28)
887,1.35 В
888,[DGSB316GB1600C11DC]
889,одноранговая
890,30 мм
891,DDR3
892,60 мес.
893,ARDOR GAMING Reaper
894,22
895,[AD4U32008G22-DTGN]
896,ADATA Premier
897,27
898,1600 МГц (10-10-10-27)
899,1.5 В
900,[PV316G160C0K]
901,Patriot Viper 3
902,52
903,[PSP416G3200KH1]
904,38
905,[AH4U16G32C28YMBAA-2]
906,серый
907,Apacer NOX
908,36
909,3200 МГц (16-18-18-36)
910,[NMUD480E82-3200DG20]
911,Neo Forza BLACK FAYE
912,[NMUD480E82-2666EA20]
913,Neo Forza
914,[PSD416G2666K]
915,31.25 мм
916,Patriot Signature Line
917,9
918,1600 МГц (9-9-9-24)
919,[PV316G160C9K]
920,[AGI32DA08UD138]
921,AGI UD138
922,1866 МГц
923,30
924,1866 МГц (10-11-10-30)
925,[PV316G186C0K]
926,[PSD416G3200K]
927,31 мм
928,[NMUD480E82-3200EA20]
929,40
930,3200 МГц (16-20-20-40)
931,[DGSB416GB3200C16DC]
932,3200 МГц (16-18-18-38)
933,[F4-3200C16D-16GIS]
934,30.75 мм
935,G.Skill Aegis
936,[TTCED416G3200HC16FDC01]
937,32 мм
